route_variant_name,route_name,directionid,routevarianttypeid,route,route_variant_number,contractid,operator_name,regionname,route_distance,email,mobilephone,homephone,workphone,address,st_length(shape)
Narrandera Schools to Colinroobie via Paynters Siding Rd,Colinroobie to Narrandera Schools via Paynters Siding Rd,Out,School,S696,S696-2,C0338,Mahoney's Coaches,RRPBC C0338,36.13,admin@mahoneyscoaches.com.au,0428 591 699,,,"94 Adams Street, NARRANDERA, NSW, 2700",44045.81502667628
LIndsay Park PS - Unanderra,Farmborough Rd at Princes Hwy to Nareena Hills PS ,Out,School,S169,S169-2,OSMBSC010,Premier Illawarra,OSMBSC Contract 10,20.85,compliance10@premierillawarra.com.au,0437 229 577,02 42711322,02 42711322,"13 - 23 Investigator Drive, UNANDERRA, NSW, 2526",25312.52214621055
Tura Beach to Eden Schools,Tura Beach to Eden Schools,In,School,S309,S309-1,P0207,Sapphire Coast Buslines,RRPBC P0207,38.39,jamiek@scbuslines.com.au,0428 963 879,02 6495 6452,(02) 6495 6452,"39 Redfern Close, SOUTH PAMBULA, NSW, 2549",48045.925075657855
Springwood Station to Springwood,Springwood - Buckland via Lomatia Grdns and Hosp,In,Regular,692B,692B-5,OSMBSC008,Blue Mountains Trans,OSMBSC Contract 8,6.03,jodie.mallia@cdcbus.com.au,0411 196 865,,,"25 Great Western Highway, VALLEY HEIGHTS, NSW, 2777",7260.606109162378
Lake Haven Shops to Wyee Station,Wyee & Lake Haven via Gwandalan,Out,Regular,95X,95X-15,OMBSC006,Busways OMR6,OMBSC Contract 6,49.09,infoline@busways.com.au,0438537984,,,"Level 1, 5 Bridge St, PYMBLE, NSW, 2073",58787.01505103457
"Lidcombe Stn, Railway St, Std C - Eldridge Rd opp ",East Hills to Lidcombe via Bankstown,Out,Regular,925,925-197,GSBC003,Transit Systems NSW,GSBC Contract 3,15.01,asingh@transitsystems.com.au,0498006941,02 87785800,,"49 -57 Percival rd, SMITHFIELD, NSW, 2164",18125.762397276663
Temora Schools to Narraburra,Narraburra to Temora Schools,Out,School,S354,S354-2,C0627,Reid Buses,RRPBC C0627,38.73,admin@reidbuses.com.au,0421 771 130,,,,47040.24446373044
Lake Munmorah HS to Lake Haven Shops,School Service,Out,School,2794,2794-24084,OMBSC006,Busways OMR6,OMBSC Contract 6,12.64,infoline@busways.com.au,0438537984,,,"Level 1, 5 Bridge St, PYMBLE, NSW, 2073",15135.955288393514
"Campbelltown Stn, Std A - Lake Yandel'ora, Mount A",Campbelltown to Mount Annan via Currans Hill,Out,Regular,891,891-16,GSBC002,Transit Systems NSW SW,GSBC Contract 2,11.8,hfraser@transitsystems.com.au,0482 189 107,02 9123 8630,,"49 Percival Road, SMITHFIELD, NSW, 2164",14277.193552275141
Helensburgh Station to Thirroul,Stanwell Park - Wollongong,In,Regular,2,2-24,OSMBSC009,Premier Charters,OSMBSC Contract 9,26.92,compliance9@premierillawarra.com.au,0437229577,02 4271 1322,(02) 4271 1322,"145 Walker Street, HELENSBURGH, NSW, 2508",32635.567681807137
Lisarow Stn to Lisarow HS,School Service,In,School,2085,2085-71255,OMBSC006,Busways OMR6,OMBSC Contract 6,16.75,infoline@busways.com.au,0438537984,,,"Level 1, 5 Bridge St, PYMBLE, NSW, 2073",20106.89607072224
Bondi to Cronulla,Eastern Suburbs Illawarra Line,In,Free Shuttle,99T4,99T4-3,OSMBSC004,Emergency Buses,OSMBSC Contract 4,65.95,,,,,,79687.06477970674
North Rocks PS to Parramatta Station,Parramatta to Epping via North Rocks Rd,Out,Regular,549,549-128,GSBC007,Busways North West,GSBC Contract 7,8.75,michael.hasking@busways.com.au,0438537969,02 94971800,02 94971876,"Level 1, 5 Bridge Street, PYMBLE, NSW, 2073",10552.336081975729
Lewis Ponds to Orange Schools via Icely Rd,Lewis Ponds to Orange Schools via Icely Rd,In,School,S490,S490-3,P0223,Apple City Tours,RRPBC P0223,54.69,john@johnwoodhouse.com,0419 229 220,02 63658395,02 6365 8395,"627 Burrendong Way, ORANGE, NSW, 2800",65581.34644644309
Penrith Stn to Penrith Stn,Penrith to Cranebrook Loop,In,Regular,784,784-25,GSBC001,Busways R1,GSBC Contract 1,18.78,infoline@busways.com.au,0294971800,,,"Level 1, 5 Bridge Street, PYMBLE, NSW, 2073",22637.287651467635
Riverstone Stn to Windsor Stn,Windsor - Riverstone via McGraths Hill & Vineyard,In,Regular,671,671-16,GSBC001,Busways R1,GSBC Contract 1,19.87,infoline@busways.com.au,0294971800,,,"Level 1, 5 Bridge Street, PYMBLE, NSW, 2073",23914.920662311717
Canterbury Station - Martin Place,Canterbury - Martin Place,In,Regular,428X,428X-4,SBSC006,Transit Systems West,SBSC Contract 6,11.7,smerrill@transitsystems.com.au,0490120372,,,"230 - 240 Balmain Road, LEICHHARDT, NSW, 2040",14117.233744916954
Tamworth to South Tamworth (Loop Service),Tamworth to South Tamworth (Loop Service),In,Regular,433,433-7,M0812,Tamworth Buslines,RRBSC M0812,20.02,info@buslinegroup.com.au,0418214135,,,"21 Hume Street, TAMWORTH, NSW, 2340",23426.08296670932
Merimbula & Pambula Schools to Tathra via Kalaru,Merimbula & Pambula Schools to Tathra via Kalaru,In,School,S344,S344-2,P0207,Sapphire Coast Buslines,RRPBC P0207,57.69,jamiek@scbuslines.com.au,0428 963 879,02 6495 6452,(02) 6495 6452,"39 Redfern Close, SOUTH PAMBULA, NSW, 2549",72097.15995710151
St. Pauls - Lake Illawarra,Peterborough Ave at View St to Albion Park HS ,Out,School,S196,S196-2,OSMBSC010,Premier Illawarra,OSMBSC Contract 10,19,compliance10@premierillawarra.com.au,0437 229 577,02 42711322,02 42711322,"13 - 23 Investigator Drive, UNANDERRA, NSW, 2526",23099.093551507343
Kemp St to Kempsey East Public,Kemp St to Kempsey East Public,In,School,S771,S771-14,M0818,Cavanagh Bus & Coach,RRBSC M0818,24.22,manager@cavanaghbus.com.au,0490 832 297,6562 7800,,"1 Tozer St, KEMPSEY, NSW, 2440",28327.72285123114
No. 49 Bowen Mountain Rd to Colo HS,School Service,In,School,5122,5122-62046,GSBC001,Busways R1,GSBC Contract 1,15.04,infoline@busways.com.au,0294971800,,,"Level 1, 5 Bridge Street, PYMBLE, NSW, 2073",18092.006070608004
Muswellbrook to Scone via Aberdeen (Loop Service),Muswellbrook to Scone via Aberdeen (Loop Service),In,Regular,414,414-6,P0205,Reg Osborn,RRPBC P0205,26.31,melinda@osborns.com.au,0265431271,02 6543 1271,02 6543 1271 ,"53-55 Maitland St, MUSWELLBROOK, NSW, 2333",31211.301915671047
Holbrook to Albury Schools via Old Hume Hwy,Holbrook to Albury Schools via Old Hume Hwy,In,School,S761,S761-4,C0417,Kanes Buses,RRPBC C0417,72.69,admin@kanesbuses.com.au,0427 480 514,02 6929 3257,0427 480 514,"14 Yankee Crossing Road, HENTY, NSW, 2658",89873.20719054356
Gresford Public to Eccleston via Glendon Brook,Halton to Gresford Public via Glendon Brook,Out,School,S185,S185-2,C0422,Cooma Coaches,RRPBC C0422,80.7,gferris@coomacoaches.com.au,0418 214 135,02 6452 4841,02 6452 4841,"7 Holland Road Polo Flat, COOMA, NSW, 2630",95808.58584892176
Congo to Moruya,Congo to Moruya,Out,School,S393,S393-8,P0225,Marshalls's,RRPBC P0225,24.82,accounts@marshallsbus.com.au,0455455622,(02) 4474 4991,,,30695.00782857994
Kingsgrove & Canterbury Rds Belmore - Strathfield ,Campsie - Chiswick,Out,Regular,415,415-97,SBSC006,Transit Systems West,SBSC Contract 6,7.32,smerrill@transitsystems.com.au,0490120372,,,"230 - 240 Balmain Road, LEICHHARDT, NSW, 2040",8848.742422913288
Ocean Dr/1st Panorama to Camden Haven HS,School Service,In,School,S389,S389-12241,L0822,Busways,RRBSC L0822,20.93,michael.hasking@busways.com.au,0438 537 969,02 9497 1880,02 9497 1829,"Level 1, 5 Bridge Street, PYMBLE, NSW, 2073",24620.176635838332
Gosford Stn to Ocean View/Memorial,"Gosford, WoyWoy & Ettalong via OceanBeachRd&Umina",Out,Regular,55,55-118,OMBSC006,Busways OMR6,OMBSC Contract 6,18.67,infoline@busways.com.au,0438537984,,,"Level 1, 5 Bridge St, PYMBLE, NSW, 2073",22443.937411649353
Black Springs to Oberon Schools via Norway,Black Springs to Oberon Schools via Norway,In,School,S392,S392-1,C0433,Oberon Bus Service,RRPBC C0433,25.93,john@johnwoodhouse.com; branka@johnwoodhouse.com;,0459 307 226,,,"12-14 Albion St, OBERON, NSW, 2787",31271.359325066405
Kincumber HS to Empire Bay PS,School Service,Out,School,2573,2573-20114,OMBSC006,Busways OMR6,OMBSC Contract 6,12.71,infoline@busways.com.au,0438537984,,,"Level 1, 5 Bridge St, PYMBLE, NSW, 2073",15278.826071575131
"Campbelltown Stn, Std A - John St before Argyle St",Campbelltown to Camden South via Camden (Loop Serv,In,Regular,895,895-76,GSBC002,Transit Systems NSW SW,GSBC Contract 2,17.94,hfraser@transitsystems.com.au,0482 189 107,02 9123 8630,,"49 Percival Road, SMITHFIELD, NSW, 2164",21686.033521778845
North Nowra to Cambewarra via Bomaderry,North Nowra to Cambewarra via Bomaderry,In,School,S519,S519-2,P0206,Shoalbus,RRPBC P0206,32,info@shoalbus.com.au,0410349370,02 4423 2122,(02) 4423 2122,"12 Concorde Way, BOMADERRY, NSW, 2541",39039.24678545534
Lancelot/Merlin to Blacktown Station,Blacktown - Prospect Loop via Flushcombe Rd,In,Regular,722,722-51,GSBC001,Busways R1,GSBC Contract 1,8.31,infoline@busways.com.au,0294971800,,,"Level 1, 5 Bridge Street, PYMBLE, NSW, 2073",10020.589418267069
Stockland Forster to Tuncurry via Legacy Village (Loop Service),Stockland Forster to Tuncurry via Legacy Village (Loop Service),In,Regular,303,303-8,M0819,Forster Buslines,RRBSC M0819,5.73,info@buslinesgroup.com.au,0418214135,,,"1 Burwood Rd,, BURWOOD, NSW, 2134",6782.972924437343
St Josephs Regional to Herons Creek Interch,School Service,Out,School,S536,S536-78218,L0822,Busways,RRBSC L0822,35.8,michael.hasking@busways.com.au,0438 537 969,02 9497 1880,02 9497 1829,"Level 1, 5 Bridge Street, PYMBLE, NSW, 2073",42093.57187714398
Eastlakes Shops to Redfern Station - Gibbons St,Mascot to Redfern (LOOP SERVICE),In,Regular,306,306-50,GSBC009,Transdev John Holland Buses,GSBC Contract 9,14.21,daniela.fontana@transdevjohnholland.com.au,0488 745 279,02 7257 2488,,"Level 8, 469 La Trobe Street, MELBOURNE, VIC, 3000",17161.628683948536
Lockhart to Wagga Wagga Schools,Lockhart to Wagga Wagga Schools,In,School,S215,S215-8,C0400,Allens Coaches,RRPBC C0400,80.48,office@allenscoaches.com.au,0427273022,0427273022,(02) 6927 3022,"78 Mirrool Street, COOLAMON, NSW, 2701",98454.00461611197
Windsor Marketplace (Kable St) to Windsor HS,School Service,In,School,5048,5048-33044,GSBC001,Busways R1,GSBC Contract 1,2.27,infoline@busways.com.au,0294971800,,,"Level 1, 5 Bridge Street, PYMBLE, NSW, 2073",2738.407402538387
Mount View HS to Old Maitland Rd,Mount View HS to Old Maitland Rd,Out,School,S869,S869-2,OSMBSC001,Rover Motors,OSMBSC Contract 1,39.63,mat@rovercoaches.com.au,0249901699,,,"231 Vincent Street, CESSNOCK, NSW, 2325",47237.0323244913
"North Sydney Station, Stand F to Lane Cove Shops",Lane Cove to North Sydney via Wollstonecraft,Out,Regular,265,265-176,GSBC007,Busways North West,GSBC Contract 7,16.66,michael.hasking@busways.com.au,0438537969,02 94971800,02 94971876,"Level 1, 5 Bridge Street, PYMBLE, NSW, 2073",20104.63534476002
Minnamurra Primary & Kiama High to Kiama Downs,Kiama Downs to Kiama High & Minnamurra Primary,Out,School,S486,S486-2,S0310,Kiama Coaches,RRBSC S0310,22.73,kim@kiamacoaches.com.au,0418 425 770,02 4232 3466,(02) 4232 3466,"154 Shoalhaven Street, KIAMA, NSW, 2533",27694.284420658194
Penrith Stn to Windsor Stn,Windsor to Penrith via Llandilo & Cranebrook,Out,Regular,673,673-55,GSBC001,Busways R1,GSBC Contract 1,26.58,infoline@busways.com.au,0294971800,,,"Level 1, 5 Bridge Street, PYMBLE, NSW, 2073",32023.453645483056
Lismore Schools to Dunoon & Modanville via Borton Rd Tullera,Dunoon & Modanville to Lismore Schools via Borton Rd Tullera,Out,School,S898,S898-2,C0281,Dunoon Bus Service,RRPBC C0281,30.07,dunoonbusservice@hotmail.com,0401072606,02 6621 2279,,"10 Misty Vly Vw,, GOONELLABAH, NSW, 2480",34300.96154956406
Walbundrie South,Walbundrie South,In,School,S941,S941-13,C0713,Martins Albury,RRPBC C0713,62.21,david@martinsalbury.com.au,0408 216 745,02 6040 4400,,"66 Fallon Street, ALBURY, NSW, 2640",76648.49541856824
Congo Town Centre to Broulee Schools,Congo Town Centre to Broulee Schools,In,School,S400,S400-9,P0225,Marshalls's,RRPBC P0225,39.44,accounts@marshallsbus.com.au,0455455622,(02) 4474 4991,,,48766.83798431473
Prince St (Market Sq) to Jackadgery(Service S,Grafton-Jackadgery-Cangai via Sth Grafton,Out,Regular,378,378-25,L0816,Busways,RRBSC L0816,51.77,michael.hasking@busways.com.au,0438 537 969,02 9497 1880,02 9497 1829,"Level 1, 5 Bridge Street, PYMBLE, NSW, 2073",59564.14601523638
Penrith Stn to Adams/Wilmington,Luddenham to Penrith,Out,Regular,789,789-20,GSBC001,Busways R1,GSBC Contract 1,18.87,infoline@busways.com.au,0294971800,,,"Level 1, 5 Bridge Street, PYMBLE, NSW, 2073",22784.10213878492
Rouse Hill Station to Parramatta Station,Rouse Hill Station to Parramatta,In,Regular,601,601-259,GSBC004,CDC NSW R4,GSBC Contract 4,24.1,customer.service@cdcbus.com.au,0406 495 964,,,"29 Foundry Road, SEVEN HILLS, NSW, 2147",29059.84609517941
Cooma Centennial Park to Cooma Schools,Cooma Polo Flat Rd to Cooma Schools (Orange Circle Service),In,School,S522,S522-1,C0271,Cooma Coaches,RRPBC C0271,24.54,gferris@coomacoaches.com.au,0418 214 135,02 6452 4841,02 6452 4841,"7 Holland Road Polo Flat, COOMA, NSW, 2630",30467.587976326653
Port Macquarie Tafe (Opp.) to Opp. War Memorial,PortMacq-KendallViaBonnyHills,Out,Regular,333,333-18,L0822,Busways,RRBSC L0822,54.62,michael.hasking@busways.com.au,0438 537 969,02 9497 1880,02 9497 1829,"Level 1, 5 Bridge Street, PYMBLE, NSW, 2073",64230.59654503752
"Five Dock, Timbrell Dr at Arthur St - St. Patricks",Rodd Point-St Patricks Strath,In,School,577s,577s-2,SBSC006,Transit Systems West,SBSC Contract 6,9.99,smerrill@transitsystems.com.au,0490120372,,,"230 - 240 Balmain Road, LEICHHARDT, NSW, 2040",12052.319124728881
Cronulla Station to Hurstville Station Ormonde Pde Stand K,Hurstville to Cronulla,In,Regular,971,971-553,GSBC010,U-Go Mobility,GSBC Contract 10,15.92,Leanne.frederiksen@u-gomobility.com,0411018331,,,,19254.030757095632
Windsor Marketplace (Kable St) to Windsor Stn,Windsor to Richmond via RAAF Base & Bligh Park (Loop Service),In,Regular,675A,675A-53,GSBC001,Busways R1,GSBC Contract 1,24.28,infoline@busways.com.au,0294971800,,,"Level 1, 5 Bridge Street, PYMBLE, NSW, 2073",29211.628698936915
Cobham/Vardys to St John Paul II (Sch,School Service,In,School,6050,6050-65129,GSBC001,Busways R1,GSBC Contract 1,10.39,infoline@busways.com.au,0294971800,,,"Level 1, 5 Bridge Street, PYMBLE, NSW, 2073",12519.014652971271
"Campbelltown Stn, Std E - Raby Rd Before Stranraer",Campbelltown to Minto via Eagle Vale and Kearns,Out,Regular,880,880-129,GSBC002,Transit Systems NSW SW,GSBC Contract 2,18.96,hfraser@transitsystems.com.au,0482 189 107,02 9123 8630,,"49 Percival Road, SMITHFIELD, NSW, 2164",22936.16071810874
Bomaderry to Shoalhaven Heads,Shoalhaven Heads to Bomaderry,Out,School,S524,S524-2,P0206,Shoalbus,RRPBC P0206,40.75,info@shoalbus.com.au,0410349370,02 4423 2122,(02) 4423 2122,"12 Concorde Way, BOMADERRY, NSW, 2541",49714.11129899196
Goulburn Schools to Runowaters via Tirranna Public,Runowaters to Goulburn Schools via Sloane St,Out,School,S819,S819-2,C0256,PBC Goulburn,RRPBC C0256,37.86,info@pbcgoulburn.com.au,0400055579,,,"124 Maud Street, GOULBURN, NSW, 2580",46195.09235086109
Methul to Coolamon Schools,Methul to Coolamon Schools,Out,School,S206,S206-15,C0400,Allens Coaches,RRPBC C0400,56.05,office@allenscoaches.com.au,0427273022,0427273022,(02) 6927 3022,"78 Mirrool Street, COOLAMON, NSW, 2701",68361.76358571043
Dapto HS - Dapto PS,Fairwater Dr af Highcroft Bvd to Dapto HS ,Out,School,S081,S081-2,OSMBSC010,Premier Illawarra,OSMBSC Contract 10,6.05,compliance10@premierillawarra.com.au,0437 229 577,02 42711322,02 42711322,"13 - 23 Investigator Drive, UNANDERRA, NSW, 2526",7354.981278898727
Lion Bus - Sieben Dr to Orange Schools via Bletchington Public,Lion Bus - Sieben Dr to Orange Schools via Bletchington Public,In,School,S411,S411-1,M0305,Orange Buslines,RRBSC M0305,33.35,info@buslinesgroup.com.au,0407 885 636,,,"1 Burwood Rd, BURWOOD, NSW, 2134",39976.52448122897
"Washington Ave at Virginia Pl to Mortdale Station, Pitt St, Stand A",Mortdale to Bankstown via Peakhurst Heights,In,Regular,944,944-631,GSBC010,U-Go Mobility,GSBC Contract 10,11.36,Leanne.frederiksen@u-gomobility.com,0411018331,,,,13718.460309469963
"Mildura P/S, Eleventh St to Eighth St and Deakin Ave",Mildura Primary School to Tafe,Out,Regular,S126,S126-6,V0298,CDC Mildura,RRBSC V0298,12.44,cdcmildura@cdcbus.com.au,0413 958 057,0408037448,03 50230274,"8-10 Bathurst Court, MILDURA, VIC, 3500",15070.30536761842
Chatswood to North Ryde (Shuttle),North Ryde - Chatswood (Shuttle),In,Free Shuttle,84M,84M-2,OSMBSC004,Emergency Buses,OSMBSC Contract 4,4715.02,,,,,,5679.467228061186
Parramatta Station to Winston Hills Mall,Blacktown to Parramatta via Winston Hills,Out,Regular,706,706-53,GSBC004,CDC NSW R4,GSBC Contract 4,8.47,customer.service@cdcbus.com.au,0406 495 964,,,"29 Foundry Road, SEVEN HILLS, NSW, 2147",10210.60581089244
Trundle Schools to The Bogan Way via Bogan Gate,Yarrabandai Rd to Trundle Schools via Bogan Gate,Out,School,S672,S672-2,C0852,T Deaman & S Horkings Pty Ltd,RRPBC C0852,71.93,stefandtroy@bigpond.com,0499 550 082,0499 550 082,0499 550 082,,86015.6466301297
Backwater to Glen Innes Schools via Mount Mitchell & Glen Legh Rd,Backwater to Glen Innes Schools via Mount Mitchell & Glen Legh Rd,In,School,S572,S572-1,C0342,New England Coaches,RRPBC C0342,67.35,newenglandcoaches@hotmail.com,0421701171,,02 6732 1051,"78 DERBY STREET, GLEN INNES, NSW, 2370",77803.8502419423
Bathurst Schools to Oberon via O'Connell 1,Oberon to Bathurst Schools via O'Connell 1,Out,School,S788,S788-1,P0201,Newman's Bus Service,RRPBC P0201,55.74,admin@newmansfuelsandbuses.com.au,0417454206,0417454206,63682634,"3 Maria Street, BLAYNEY, NSW, 2799",67056.70963742008
Cessnock to Millfield (Loop Service),Cessnock to Millfield (Loop Service),Out,Regular,168,168-5,OSMBSC001,Rover Motors,OSMBSC Contract 1,7.99,mat@rovercoaches.com.au,0249901699,,,"231 Vincent Street, CESSNOCK, NSW, 2325",9530.69487793547
Power/Glendenning to Mt Druitt Station,Mt Druitt to Blacktown via Plumpton & Woodcroft,Out,Regular,756,756-224,GSBC001,Busways R1,GSBC Contract 1,8.9,infoline@busways.com.au,0294971800,,,"Level 1, 5 Bridge Street, PYMBLE, NSW, 2073",10724.62376453905
Corowa Schools to Steel St via South Corowa,Edward St to Corowa Schools,Out,School,S786,S786-2,S0146,Cann's Bus Mgmt,RRBSC S0146,18.51,admin@cannsbuslines.com.au,0458 275 657,,6033 2249,"30 - 32 Posiedon St, COROWA, NSW, 2646",22906.37586711551
Rutherford Shops to Rutherford Shops,Rutherford to Bungeree Loop,In,Regular,177,177-1,OSMBSC002,CDC Hunter Valley,OSMBSC Contract 2,5.04,jodie.mallia@cdcbus.com.au,0411196865,0249895204,,"6 Glenwood Drive, THORNTON, NSW, 2322",6006.353866489341
Wagga Wagga to Forest Hill ED:6520,Forest Hill to Wagga Wagga,Out,Regular,965,965-3,L0326,Busabout Wagga,RRBSC L0326,15.2,depot.manager@busaboutwagga.com.au,0429 300 063,02 4631 4200,0259426600,"264 Hammond Avenue, EAST WAGGA WAGGA, NSW, 2650",18598.366892455066
Taree Station to Newcastle Interchang,Taree-Newcastle,In,Regular,150,150-46,M0821,Busways,RRBSC M0821,228.61,michael.hasking@busways.com.au,0438 537 969,02 9497 1880,02 9497 1829,"Level 1, 5 Bridge Street, PYMBLE, NSW, 2073",271639.8014454289
Glenmore Pkwy/Camellia to Penrith Stn,Penrith to Glenmore Park Loop,In,Regular,797,797-25,GSBC001,Busways R1,GSBC Contract 1,14.71,infoline@busways.com.au,0294971800,,,"Level 1, 5 Bridge Street, PYMBLE, NSW, 2073",17732.96586877942
Mudgee Schools to Ulan,TURILL - GULGONG,Out,School,S300,S300-1,V0683,Ogdens Coaches,RRBSC V0683,46.78,mandi@ogdenscoaches.com.au,0428 636 793,,,"130 Thornton Street, WELLINGTON, NSW, 2820",55636.60861980275
Park Beach Plaza to Park Ave/Little,Park Beach Plaza-Park Av via The Jetty,In,Regular,365,365-33,L0817,Busways,RRBSC L0817,8.09,michael.hasking@busways.com.au,0438 537 969,02 9497 1880,02 9497 1829,"Level 1, 5 Bridge Street, PYMBLE, NSW, 2073",9383.34357457228
Tomingley to Narromine via Tomingley Rd,Tomingley to Narromine via Tomingley Rd,In,School,S627,S627-1,C0617,Geographical Computi,RRPBC C0617,61.8,tony@geographicalcomputing.com.au,0427 891 182,0268891182,0427891182,"8 Crossley Drive, NARROMINE, NSW, 2821",73451.42920232052
Camden Haven HS to Kendall PS,School Service,In,School,S638,S638-39111,L0822,Busways,RRBSC L0822,6,michael.hasking@busways.com.au,0438 537 969,02 9497 1880,02 9497 1829,"Level 1, 5 Bridge Street, PYMBLE, NSW, 2073",7060.766528014293
Wyong HS to Torrens Ave at Coral St,The Entrance to Wyong,Out,Regular,25,25-90,OMBSC007,Redbus CDC NSW,OMBSC Contract 7,35.64,jodie.mallia@cdcbus.com.au,0243328655,,,"28 Prosperity St, TRUGANINA, VIC, 3029",42771.562298572564
